Abruzzo,3296
Basilicata,4437
Calabria,24571
Campania,4862
Emilia-Romagna,7317
Friuli-Venezia Giulia,1775
Lazio,7762
Liguria,207
Lombardia,2034
Marche,6138
Molise,1305
Piemonte,3555
Puglia,15023
Sardegna,4033
Sicilia,30320
Toscana,8239
Trentino Alto Adige,3190
Umbria,2312
Valle d'Aosta,44
Veneto,1879
Centro,24451
Mezzogiorno,87847
Nord,20001
Totale Italia, 132 299
